endpoint,name,methods,initial_outcome,effective_outcome,status_code,error_type,records,duration_seconds,note
/db/PTNS,Pretension Loads,"DELETE,GET,POST,PUT",success,success,,,0,0.1002,
/db/PZEF,Panel Zone Effects,"GET,POST,PUT",success,success,,,0,0.0881,
/db/RCHK,Rebar Check Input (Beam/Column),"DELETE,GET,POST,PUT",success,success,,,0,0.0978,
/db/REBB,Modify Beam Rebar,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0911,GET and /info both returned 404.
/db/REBR,Modify Brace Rebar,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0908,GET and /info both returned 404.
/db/REBW,Modify Wall Rebar,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.1031,GET and /info both returned 404.
/db/RIGD,Rigid Link,"DELETE,GET,POST,PUT",success,success,,,0,0.1055,
/db/RPSC,Section Manager - Reinforcements,"DELETE,GET,POST,PUT",success,success,,,0,0.0872,
/db/SBDO,Define Sub-Domain,"DELETE,GET,POST,PUT",success,success,,,0,0.092,
/db/SDHY,Seismic Device - Hysteretic Isolator (MSS),"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0922,GET and /info both returned 404.
/db/SDIS,Seismic Device - Isolator (MSS),"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.1166,GET and /info both returned 404.
/db/SDSP,Specified Displacements of Support,"DELETE,GET,POST,PUT",success,success,,,0,0.1156,
/db/SDST,Seismic Device - Steel Damper,"DELETE,GET,POST,PUT",success,success,,,0,0.0507,
/db/SDVE,Seismic Device - Viscoelastic Damper,"DELETE,GET,POST,PUT",success,success,,,0,0.0942,
/db/SDVI,Seismic Device - Viscous/Oil Damper,"DELETE,GET,POST,PUT",success,success,,,0,0.1045,
/db/SECF,Section Manager - Stiffness,"DELETE,GET,POST,PUT",success,success,,,0,0.0767,
/db/SECT,Section Properties,"DELETE,GET,POST,PUT",success,success,,,1,0.0919,
/db/SINF,Plate Element for Influence Surface,"DELETE,GET,POST,PUT",success,success,,,0,0.0916,
