endpoint,name,methods,outcome,status_code,error_type,records,duration_seconds,note
/db/ETMP,Element Temperature,"DELETE,GET,POST,PUT",success,,,0,0.0895,
/db/EWSF,Effective Width Scale Factor,"DELETE,GET,POST,PUT",error,404,MidasNotFoundError,,0.1917,GET and /info both returned 404.
/db/EXLD,External Type Load Case for Pretension,"DELETE,GET,POST,PUT",success,,,0,0.1019,
/db/FBLA,Assign Floor Loads,"DELETE,GET,POST,PUT",success,,,0,0.0946,
/db/FBLD,Define Floor Load Type,"DELETE,GET,POST,PUT",success,,,0,0.0882,
/db/FIBR,Fiber Division of Section,"DELETE,GET,POST,PUT",success,,,0,0.0886,
/db/FIMP,Inelastic Material Properties,"DELETE,GET,POST,PUT",success,,,0,0.0898,
/db/FMLD,Finishing Material Loads,"DELETE,GET,POST,PUT",success,,,0,0.0901,
/db/FRLS,Beam End Release,"DELETE,GET,POST,PUT",success,,,0,0.0919,
/db/GRDP,Group Damping,"DELETE,GET,POST,PUT",success,,,0,0.0807,
/db/GRUP,Structure Group,"GET,POST,PUT",success,,,0,0.0914,
/db/GSPR,Assign General Spring Supports,"DELETE,GET,POST,PUT",success,,,0,0.0869,
/db/GSTP,Define General Spring Type,"DELETE,GET,POST,PUT",success,,,0,0.0907,
/db/GTMP,Temperature Gradient,"DELETE,GET,POST,PUT",success,,,0,0.0795,
/db/HAHS,Assign Heat Source,"DELETE,GET,POST,PUT",success,,,0,0.0821,
/db/HECB,Element Convection Boundary,"DELETE,GET,POST,PUT",success,,,0,0.0868,
/db/HHCT,Heat of Hydration Analysis Control,"DELETE,GET,POST,PUT",success,,,0,0.0872,
/db/HPCE,Pipe Cooling,"DELETE,GET,POST,PUT",success,,,0,0.0939,
/db/HSFC,Heat Source Functions,"DELETE,GET,POST,PUT",success,,,0,0.0789,
/db/HSPT,Prescribed Temperature,"DELETE,GET,POST,PUT",success,,,0,0.0756,
/db/HSTG,Define Construction Stage for Hydration,"DELETE,GET,POST,PUT",success,,,0,0.084,
/db/IEHC,Inelastic Hinge Control Data,"DELETE,GET,POST,PUT",success,,,0,0.077,
/db/IEHG,Assign Inelastic Hinge Properties,"DELETE,GET,POST,PUT",success,,,0,0.0789,
/db/IELC,Ignore Elements for Load Cases,"DELETE,GET,POST,PUT",success,,,0,0.0763,
/db/IEPI,Ignore Elements for Pushover Initial Load,"DELETE,GET,POST,PUT",success,,,0,0.0906,
/db/IFGS,Large Displacement - Initial Forces for Geometric Stiffness,"DELETE,GET,POST,PUT",success,,,0,0.0956,
/db/IMFM,Inelastic Material Properties for Fiber Model,"DELETE,GET,POST,PUT",success,,,0,0.1025,
/db/INMF,Small Displacement - Initial Element Force,"DELETE,GET,POST,PUT",success,,,0,0.3118,
/db/LCOM-GEN,Load Combinations - General,"DELETE,GET,POST,PUT",success,,,0,0.0706,
/db/LCOM-SEISMIC,Load Combinations - Seismic Design,"DELETE,GET,POST,PUT",success,,,0,0.1118,
/db/LCOM-SRC,Load Combinations - SRC Design,"DELETE,GET,POST,PUT",success,,,0,0.0997,
/db/LCOM-STEEL,Load Combinations - Steel Design,"DELETE,GET,POST,PUT",success,,,0,0.1194,
/db/LDGR,Load Group,"DELETE,GET,POST,PUT",success,,,0,0.0584,
/db/LDSQ,Load Sequence for Nonlinear,"DELETE,GET,POST,PUT",success,,,0,0.0913,
/db/LENG,Unbraced Length,"DELETE,GET,POST,PUT",success,,,0,0.0913,
/db/LTOM,Loads to Masses,"DELETE,GET,POST,PUT",success,,,0,0.1046,
/db/LTSR,Limiting Slenderness Ratio,"DELETE,GET,POST,PUT",success,,,0,0.0945,
/db/MADO,Define Domain,"DELETE,GET,POST,PUT",success,,,0,0.1031,
/db/MATD,Modify Concrete Materials,"GET,PUT",success,,,0,0.57,
/db/MATL,Material Properties,"DELETE,GET,POST,PUT",success,,,0,0.0402,
/db/MBTP,Modify Member Type,"DELETE,GET,POST,PUT",success,,,0,0.0861,
/db/MCON,Linear Constraints,"DELETE,GET,POST,PUT",success,,,0,0.0817,
/db/MEMB,Design Member Assignment,"DELETE,GET,POST,PUT",success,,,0,0.0955,
/db/MLFC,Force-Deformation Function,"DELETE,GET,POST,PUT",success,,,0,0.0939,
/db/NBOF,Nodal Body Force,"DELETE,GET,POST,PUT",success,,,0,0.0945,
/db/NLCT,Nonlinear Analysis Control Data,"DELETE,GET,POST,PUT",success,,,0,0.1019,
/db/NLLP,General Link Properties,"DELETE,GET,POST,PUT",success,,,0,0.091,
/db/NLNK,General Link,"DELETE,GET,POST,PUT",success,,,0,0.0958,
/db/NMAS,Nodal Masses,"DELETE,GET,POST,PUT",success,,,0,0.1053,
/db/NODE,Node,"DELETE,GET,POST,PUT",success,,,0,0.1139,
/db/NPLN,Named Plane,"DELETE,GET,POST,PUT",success,,,0,0.1022,
/db/NSPR,Point Spring,"DELETE,GET,POST,PUT",success,,,0,0.0909,
/db/NTMP,Nodal Temperature,"DELETE,GET,POST,PUT",success,,,0,0.0946,
/db/OFFS,Beam End Offsets,"DELETE,GET,POST,PUT",success,,,0,0.0975,
/db/PDEL,P-Delta Analysis Control,"DELETE,GET,POST,PUT",success,,,0,0.1064,
/db/PHGE,Assign Pushover Hinge Properties,"DELETE,GET,POST,PUT",success,,,0,0.0916,
/db/PJCF,Project Information,"DELETE,GET,POST,PUT",success,,,1,0.0913,
/db/PLCB,Pre-composite Section,"DELETE,GET,POST,PUT",error,404,MidasNotFoundError,,0.0912,GET and /info both returned 404.
/db/PNLA,Assign Plane Loads,"DELETE,GET,POST,PUT",success,,,0,0.0903,
/db/PNLD,Define Plane Load Type,"DELETE,GET,POST,PUT",success,,,0,0.0923,
/db/POGD,Pushover Analysis Control Data,"DELETE,GET,POST,PUT",success,,,0,0.1017,
/db/POLC,Pushover Load Cases,"DELETE,GET,POST,PUT",success,,,0,0.1002,
/db/POSL,Parameter of Seismic Loads,"DELETE,GET,POST,PUT",success,,,0,0.0901,
/db/POSP,Parameter of Soil Properties,"DELETE,GET,POST,PUT",success,,,0,0.0896,
